"task_id","simulation_seed","run","start_B0","start_sigma_beta","B0_hat","sigma_beta_hat","logLik","logLik_se","n_successful_pf_evals","status","error_message"
124,1124,6,6,0.3,4.57041328891176,0.307548070668213,-190.166377744656,0.0125917126777058,5,"success",NA
124,1124,7,2,0.45,4.54140613949101,0.320149670112369,-190.173698441823,0.0221217447186978,5,"success",NA
124,1124,8,4,0.45,4.44197414788696,0.303236157034797,-190.159850058131,0.0183848355730746,5,"success",NA
124,1124,9,6,0.45,4.47249748897697,0.305164774614594,-190.14960527183,0.0105426865660073,5,"success",NA
125,1125,1,2,0.1,4.92935794992444,0.168047040126684,-193.706222371823,0.0173527202653602,5,"success",NA
125,1125,2,4,0.1,4.95278023354734,0.16729631478024,-193.699107810827,0.0186847386952844,5,"success",NA
125,1125,3,6,0.1,4.85527929458324,0.162674578725721,-193.667651032253,0.00438832547179573,5,"success",NA
125,1125,4,2,0.3,4.87238497644519,0.176311118266755,-193.719070866486,0.0114318059423754,5,"success",NA
125,1125,5,4,0.3,4.77002464717001,0.162555636656451,-193.688955085099,0.0162352714736028,5,"success",NA
125,1125,6,6,0.3,4.92080293128755,0.149834817750773,-193.687897419312,0.0130370823797067,5,"success",NA
125,1125,7,2,0.45,4.72421328006309,0.163805583213213,-193.720359686499,0.00958035146740937,5,"success",NA
125,1125,8,4,0.45,4.87668868785392,0.169239194003422,-193.685220917269,0.00814349782509694,5,"success",NA
125,1125,9,6,0.45,4.94972634726725,0.158491882545669,-193.701663679102,0.00877192262184626,5,"success",NA
126,1126,1,2,0.1,4.18066366675545,0.253714205417161,-197.332799097258,0.0390727514113798,5,"success",NA
126,1126,2,4,0.1,4.05243536375235,0.308948843443886,-197.345641836458,0.0342836672116037,5,"success",NA
126,1126,3,6,0.1,4.10539039374079,0.282958865406864,-197.311889987404,0.0309274506278997,5,"success",NA
126,1126,4,2,0.3,4.04658677925649,0.332672459939682,-197.419731287471,0.0316476151746719,5,"success",NA
126,1126,5,4,0.3,4.10540327315799,0.283938347624509,-197.296753171624,0.0186748200422853,5,"success",NA
126,1126,6,6,0.3,4.07913368810152,0.272310961063956,-197.325479659148,0.0388251220558787,5,"success",NA
126,1126,7,2,0.45,4.13157335686835,0.306341990075744,-197.318834095064,0.0312305934144924,5,"success",NA
126,1126,8,4,0.45,4.08874277210375,0.272602235203196,-197.283221386914,0.0300096044253153,5,"success",NA
126,1126,9,6,0.45,4.21576041646812,0.272202311449445,-197.311957826609,0.0162203294157108,5,"success",NA
127,1127,1,2,0.1,3.51077209833845,0.354912260662773,-156.44378713456,0.0187981615514003,5,"success",NA
127,1127,2,4,0.1,3.74052521253051,0.34187564118266,-156.402378703517,0.0365792838872656,5,"success",NA
127,1127,3,6,0.1,3.72421184129879,0.3595304508431,-156.412411792863,0.0171057615683406,5,"success",NA
127,1127,4,2,0.3,4.00626088791967,0.375557406811852,-156.439883015474,0.0165649639679279,5,"success",NA
127,1127,5,4,0.3,3.70592367440533,0.384595836063366,-156.438570800169,0.031156763488983,5,"success",NA
127,1127,6,6,0.3,3.54667180707009,0.372757099018407,-156.429858096231,0.0104931922796806,5,"success",NA
